county,WNS_MAP_YR,WNS_STATUS
Butler-Pennsylvania,2006-07,Absent
Butler-Pennsylvania,2007-08,Absent
Butler-Pennsylvania,2008-09,Absent
Butler-Pennsylvania,2009-10,Absent
Butler-Pennsylvania,2010-11,Absent
Butler-Pennsylvania,2012-13,Absent
Butler-Pennsylvania,2013-14,Absent
Butler-Pennsylvania,2014-15,Absent
Butler-Pennsylvania,2015-16,Absent
Butler-Pennsylvania,2016-17,Absent
Butler-Pennsylvania,2017-18,Absent
Butler-Pennsylvania,2018-19,Absent
Calhoun-Alabama,2006-07,Absent
Calhoun-Alabama,2007-08,Absent
Calhoun-Alabama,2008-09,Absent
Calhoun-Alabama,2009-10,Absent
Calhoun-Alabama,2010-11,Absent
Calhoun-Alabama,2011-12,Absent
Calhoun-Alabama,2012-13,Absent
Calhoun-Alabama,2013-14,Absent
Calhoun-Alabama,2014-15,Absent
Calhoun-Alabama,2016-17,Absent
Calhoun-Alabama,2017-18,Absent
Calhoun-Alabama,2018-19,Absent
Callaway-Missouri,2006-07,Absent
Callaway-Missouri,2007-08,Absent
